device_id,metric_name,create_time,metric_value,source
dev_116,cpu_usage,2026-04-21 18:57:41,66.0,agent
dev_117,memory_usage,2026-04-21 18:57:42,72.4,agent
dev_118,disk_io,2026-04-21 18:57:43,87.5,collector
dev_119,cpu_usage,2026-04-21 18:57:44,75.8,agent
dev_120,memory_usage,2026-04-21 18:57:45,63.0,agent
dev_116,disk_io,2026-04-21 18:57:46,108.7,collector
dev_117,cpu_usage,2026-04-21 18:57:47,70.6,agent
dev_118,memory_usage,2026-04-21 18:57:48,58.9,agent
dev_119,disk_io,2026-04-21 18:57:49,93.2,collector
dev_120,cpu_usage,2026-04-21 18:57:50,67.4,agent
dev_121,cpu_usage,2026-04-21 18:57:51,78.2,agent
dev_122,memory_usage,2026-04-21 18:57:52,64.8,agent
dev_123,disk_io,2026-04-21 18:57:53,101.6,collector
dev_124,cpu_usage,2026-04-21 18:57:54,72.9,agent
dev_125,memory_usage,2026-04-21 18:57:55,60.5,agent
dev_121,disk_io,2026-04-21 18:57:56,118.3,collector
dev_122,cpu_usage,2026-04-21 18:57:57,68.7,agent
dev_123,memory_usage,2026-04-21 18:57:58,56.2,agent
dev_124,disk_io,2026-04-21 18:57:59,97.0,collector
dev_125,cpu_usage,2026-04-21 18:58:00,80.1,agent
dev_126,cpu_usage,2026-04-21 18:58:01,69.9,agent
dev_127,memory_usage,2026-04-21 18:58:02,66.3,agent
dev_128,disk_io,2026-04-21 18:58:03,92.7,collector
dev_129,cpu_usage,2026-04-21 18:58:04,76.4,agent
dev_130,memory_usage,2026-04-21 18:58:05,61.7,agent
dev_126,disk_io,2026-04-21 18:58:06,109.9,collector
dev_127,cpu_usage,2026-04-21 18:58:07,73.1,agent
dev_128,memory_usage,2026-04-21 18:58:08,59.4,agent
dev_129,disk_io,2026-04-21 18:58:09,94.6,collector
dev_130,cpu_usage,2026-04-21 18:58:10,68.2,agent
dev_131,cpu_usage,2026-04-21 18:58:11,77.0,agent
dev_132,memory_usage,2026-04-21 18:58:12,65.9,agent
dev_133,disk_io,2026-04-21 18:58:13,103.8,collector
dev_134,cpu_usage,2026-04-21 18:58:14,74.6,agent
dev_135,memory_usage,2026-04-21 18:58:15,62.1,agent
dev_131,disk_io,2026-04-21 18:58:16,117.5,collector
dev_132,cpu_usage,2026-04-21 18:58:17,70.8,agent
dev_133,memory_usage,2026-04-21 18:58:18,57.3,agent
dev_134,disk_io,2026-04-21 18:58:19,98.2,collector
dev_135,cpu_usage,2026-04-21 18:58:20,81.5,agent
dev_136,cpu_usage,2026-04-21 18:58:21,67.6,agent
dev_137,memory_usage,2026-04-21 18:58:22,63.8,agent
dev_138,disk_io,2026-04-21 18:58:23,90.4,collector
dev_139,cpu_usage,2026-04-21 18:58:24,75.2,agent
dev_140,memory_usage,2026-04-21 18:58:25,60.0,agent
dev_136,disk_io,2026-04-21 18:58:26,106.1,collector
dev_137,cpu_usage,2026-04-21 18:58:27,72.0,agent
dev_138,memory_usage,2026-04-21 18:58:28,58.7,agent
dev_139,disk_io,2026-04-21 18:58:29,95.9,collector
dev_140,cpu_usage,2026-04-21 18:58:30,69.3,agent
